,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리
0,서울,서울 서대문구 증가로 130,N,대일고시원,빈방없음,['40개'],월세  20~30,Y,N,공용,N
1,서울,서울 서대문구 증가로 130,1호선 노량진역,상아탑고시원,빈방없음,['34개'],월세  45~55,Y,N,공용,N
2,서울,서울 동작구 노량진로14가길 8,2호선 홍대입구역,소호리빙텔 홍대신촌점,빈방없음,['46개'],월세  26~47,Y,4,공용,Y
3,서울,서울 마포구 신촌로8길 5,7호선 어린이대공원역,해피존고시텔,빈방없음,['40개'],월세  18~28,Y,4,공용,N
4,서울,서울 광진구 군자로 100,7호선 중곡역,리빙캐슬 중곡점,빈방없음,['38개'],월세  35~45,Y,5,공용,N
5,서울,서울 광진구 능동로 378,2호선 사당역,싱글하우스 사당점,빈방없음,['60개'],월세  27~30,Y,2,공용,N
6,서울,서울 동작구 남부순환로271가길 2,5호선 답십리역,노블레지던스 답십리역점,빈방없음,['26개'],월세  40~60,Y,N,공용,Y
7,서울,서울 동대문구 사가정로2길 139,1호선 광운대역,리빙캐슬 광운대점,1개,['37개'],월세  26~45,Y,2,공용,N
8,서울,서울 노원구 석계로 95 월계1동 411-53,인천1호선 경인교대입구역,태양고시원,1개,['60개'],월세  18~25,Y,N,공용,N
9,인천,인천 계양구 계산천서로 43,1호선 광운대역,한일고시원,빈방없음,['36개'],월세  22~35,Y,3,공용,N
10,서울,서울 노원구 석계로15길 25,N,청학고시원,1개,['36개'],월세  15~23,Y,N,남성전용,N
11,서울,서울 관악구 대학14길 69 ,2호선 신림역,한빛고시원,빈방없음,['30개'],월세  22~22,Y,100,남성전용,N
12,서울,서울 관악구 신원로 16,4호선 총신대입구(이수)역,허브리빙텔 이수총신대역점,1개,['43개'],월세  25~48,Y,5,공용,N
13,서울,서울 동작구 사당로29가길 47,3호선 연신내역,하이고시텔,빈방없음,['66개'],월세  20~27,Y,2,공용,N
14,서울,서울 은평구 통일로 915,1호선 대방역,삼성원룸텔,1개,['14개'],월세  30~39,Y,N,공용,N
15,서울,서울 동작구 등용로 124,2호선 신촌역,그린여성리빙텔,빈방없음,['21개'],월세  32~47,Y,2,여성전용,N
16,서울,서울 마포구 신촌로12나길8,에버라인강남대역,트리빌원룸텔,9개,['83개'],월세  20~45,Y,14,공용,N
17,경기,경기 용인시 기흥구 강남서로 9,7호선 공릉역,탑고시텔,빈방없음,['50개'],월세  20~38,Y,5,공용,N
18,서울,서울 노원구 동일로192길 87,5호선 아차산역,심플하우스 중곡점,1개,['36개'],월세  35~43,Y,2,공용,N
19,서울,서울 광진구 천호대로127길 16,2호선 방배역,21세기원룸텔고시원,3개,['36개'],월세  18~33,Y,N,공용,N
20,서울,서울 서초구 방배로 57,경의중앙선 중랑역,동부고시원,빈방없음,['25개'],월세  20~27,Y,N,공용,N
21,서울,서울 중랑구 중랑천로10길 68,1호선 회기역,아이비고시원,빈방없음,['22개'],월세  15~22,Y,N,공용,N
22,서울,서울 동대문구 이문로 70,6호선 태릉입구역,노블레지던스 태릉점,빈방없음,['40개'],월세  42~45,Y,N,공용,N
23,서울,서울 노원구 동일로174길 44,6호선 태릉입구역,에덴고시원,빈방없음,['56개'],월세  24~38,Y,7,공용,N
24,서울,서울 중랑구 공릉로 77,6호선 태릉입구역,자유고시원,빈방없음,['46개'],월세  18~27,Y,N,공용,N
25,서울,서울 노원구 공릉로 95,2호선 홍대입구역,신형고시원,1개,['60개'],월세  17~40,Y,8,남성전용,N
26,서울,서울 서대문구 성산로 396,3호선 경찰병원역,가윤원룸텔,빈방없음,['14개'],월세  40~55,Y,N,공용,Y
27,서울,서울 송파구 송이로 155,분당선 이매역,이매고시텔,빈방없음,['55개'],월세  26~48,Y,N,공용,N
28,경기,경기 성남시 분당구 이매로 51,분당선 수내역,씨티하우스,빈방없음,['46개'],월세  35~60,Y,5,공용,N
29,경기,경기 성남시 분당구 황새울로258번길 10-7 ,9호선 삼성중앙역,네오원룸텔,빈방없음,['32개'],월세  40~55,Y,N,공용,N
30,서울,서울 강남구 삼성로 539,9호선 흑석역,아인스리빙텔,1개,['37개'],월세  20~40,Y,N,공용,N
31,서울,서울 동작구 서달로14가길 1,1호선 종로5가역,게스트고시텔,빈방없음,['41개'],월세  26~40,Y,N,공용,N
32,서울,서울 종로구 종로5가 231-9,6호선 대흥역,대흥고시텔,1개,['40개'],월세  30~70,Y,N,공용,N
33,서울,서울 마포구 대흥로 100-1,3호선 홍제역,유진고시원,빈방없음,['39개'],월세  24~30,Y,N,공용,N
34,서울,서울 서대문구 통일로 457,1호선 신길역,해피하우스 대방점,1개,['60개'],월세  27~40,Y,2,공용,N
35,서울,서울 영등포구 도신로64길 16,1호선 안양역,해피룸고시텔,빈방없음,['52개'],월세  20~35,Y,N,공용,N
36,경기,경기 안양시 만안구 장내로 123,2호선 문래역,태성고시텔,빈방없음,['45개'],월세  20~35,Y,2,공용,N
37,서울,서울 영등포구 선유로 42,4호선 성신여대입구역,리빙캐슬 성신여대점,1개,['40개'],월세  38~55,Y,3,공용,Y
38,서울,서울 성북구 동소문로20길 36,9호선 신논현역,드림하우스 원룸텔 강남역점,빈방없음,['39개'],월세  25~42,Y,N,공용,N
39,서울,서울 강남구 봉은사로2길 7,8호선 문정역,삼성리빙텔 문정역점,빈방없음,['55개'],월세  18~60,Y,N,공용,N
40,서울,서울 송파구 동남로 126,1호선 외대앞역,에덴고시원 외대점,빈방없음,['38개'],월세  22~33,Y,N,공용,N
41,서울,서울 동대문구 이문로 82,1호선 신설동역,테마고시텔,빈방없음,['40개'],월세  30~60,Y,N,공용,N
42,서울,서울 동대문구 왕산로 9-1,2호선 구의역,그루레지던스 구의점,1개,['37개'],월세  30~40,Y,N,공용,N
43,서울,서울 광진구 아차산로 421,2호선 선 릉역,라임하우스 대치선릉점,빈방없음,['40개'],월세  25~50,Y,6,공용,Y
44,서울,서울 강남구 역삼로73길 6,3호선 양재역,에덴하우스 양재역점,빈방없음,['44개'],월세  40~60,Y,2,공용,Y
45,서울,서울 서초구 강남대로34길 47,3호선 양재역,코코레지던스 양재점,빈방없음,['55개'],월세  32~55,Y,6,공용,Y
46,서울,서울 서초구 강남대로30길 18,1호선 개봉역,솔고시원,9개,['30개'],월세  26~35,Y,2,공용,N
47,서울,서울 구로구 경인로40길 11,분당선 야탑역,스카이원룸고시텔,빈방없음,['63개'],월세  26~36,Y,N,공용,N
48,경기,경기 성남시 분당구 야탑로75번길 9,4호선 혜화역,스타원룸텔,빈방없음,['35개'],월세  43~55,Y,N,공용,Y
49,서울,서울 종로구 창경궁로 235,1호선 광운대역,성북화이트빌,빈방없음,['47개'],월세  25~50,Y,8,공용,N
50,서울,서울 노원구 광운로19가길 24,8호선 단대오거리역,마이빌고시원,빈방없음,['68개'],월세  18~40,Y,10,공용,N
51,경기,경기 성남시 중원구 산성대로 366,2호선 신당역,힐리빙텔,빈방없음,['39개'],월세  24~50,Y,N,공용,N
52,서울,서울 중구 퇴계로 463,7호선 숭실대입구역,소호리빙텔 숭실중앙대점,빈방없음,['30개'],월세  18~27,Y,N,공용,Y
53,서울,서울 동작구 상도로37길65 ,2호선 신대방역,벤처원룸텔,1개,['20개'],월세  25~40,Y,1,공용,N
54,서울,서울 관악구 난곡로 347,5호선 영등포시장역,탑레지던스 영등포점,빈방없음,['45개'],월세  30~50,Y,N,공용,N
55,서울,서울 영등포구 영신로38길 18,2호선 신촌역,하늘원룸텔,빈방없음,['32개'],월세  40~70,Y,N,공용,N
56,서울,서울 서대문구 연세로7길 25,5호선 영등포시장역,마이홈원룸텔 영등포중앙점,빈방없음,['39개'],월세  30~65,Y,N,공용,Y
57,서울,서울 영등포구 영신로38길 15,4호선 성신여대입구역,조이고시텔,빈방없음,['40개'],월세  18~25,Y,N,공용,N
58,서울,서울 성북구 동소문로17길 1,4호선 한성대입구역,아이게스트하우스 대학로점,10개,['0개'],월세  28~36,Y,1,공용,Y
59,서울,서울 종로구 혜화로 31,7호선 어린이대공원역,한마음고시원,빈방없음,['40개'],월세  18~40,Y,3,공용,Y
60,서울,서울 광진구 광나루로12길 19,6호선 태릉입구역,노블큐Q고시텔,1개,['36개'],월세  36~60,Y,N,공용,N
61,서울,서울 노원구 화랑로 455,7호선 공릉역,스토리하우스 과학기술대점,1개,['40개'],월세  25~45,Y,3,공용,Y
62,서울,서울 노원구 동일로198길 78,2호선 구의역,더레지던스 구의,빈방없음,['33개'],월세  40~45,Y,N,공용,N
63,서울,서울 광진구 아차산로 383,5호선 청구역,하이리빙텔 신당역점,1개,['40개'],월세  32~40,Y,N,공용,N
64,서울,서울 중구 다산로33가길 23,7호선 상도역,코쿤하우스 노량진점,빈방없음,['40개'],월세  38~43,Y,N,공용,N
65,서울,서울 동작구 상도로31길 83,7호선 신중동역,스토리하우스 원룸텔,1개,['30개'],월세  25~38,Y,N,공용,N
66,경기,경기 부천시 중동로254번길 53,2호선 신촌역,더블유 W하우스,빈방없음,['30개'],월세  40~50,Y,N,공용,Y
67,서울,서울 서대문구 연세로9길 19,6호선 구산역,한우리고시텔,빈방없음,['40개'],월세  21~25,Y,N,공용,N
68,서울,서울 은평구 서오릉로 112,5호선 방이역,한우리고시텔,빈방없음,['60개'],월세  18~25,Y,N,공용,N
69,서울,서울 송파구 위례성대로20길 22,2호선 신촌역,휴레지던스 신촌점,1개,['32개'],월세  25~60,Y,2,공용,Y
70,서울,서울 서대문구 연세로7안길 21,5호선 신정역,한우리고시원,1개,['55개'],월세  18~26,Y,6,공용,N
71,서울,서울 양천구 오목로 203,2호선 당산역,더하우스 원룸텔 당산점,빈방없음,['40개'],월세  41~70,Y,N,공용,N
72,서울,서울 영등포구 양평로12길 7,2호선 당산역,게스트하우스 당산점,1개,['48개'],월세  30~50,Y,N,공용,Y
73,서울,서울 영등포구 양평로12가길 5,2호선 강남역,라임하우스원룸텔 강남역점,빈방없음,['50개'],월세  35~50,Y,N,공용,Y
74,서울,서울 강남구 역삼로5길 5,2호선 홍대입구역,윤희고시텔,빈방없음,['80개'],월세  40~50,Y,N,공용,Y
75,서울,서울 마포구 홍익로2길 23,2호선 구로디지털단지역,아이게스트하우스,1개,['32개'],월세  26~36,Y,2,공용,N
76,서울,서울 구로구 시흥대로163길 15,7호선 어린이대공원역,바롬고시텔,빈방없음,['45개'],월세  25~30,Y,N,공용,Y
77,서울,서울 광진구 광나루로 436,1호선 석계역,마이하우스,1개,['26개'],월세  45~65,Y,5,공용,N
78,서울,서울 노원구 화랑로45길 8,7호선 남구로역,홈리빙텔,빈방없음,['30개'],월세  20~50,Y,N,공용,N
79,서울,서울 구로구 구로동로26길 81,2호선 왕십리역,코지리빙텔 한양대점,1개,['30개'],월세  30~41,Y,3,공용,Y
80,서울,서울 성동구 왕십리로 284-1,1호선 신설동역,아일랜드레지던스,빈방없음,['38개'],월세  35~40,Y,N,공용,Y
81,서울,서울 종로구 난계로 243,신분당선 양재시민의숲역,노블레지던스 양재점,빈방없음,['42개'],월세  30~48,Y,N,공용,Y
82,서울,서울 서초구 동산로2길 11 ,1호선 주안역,펠리스원룸텔 주안점,1개,['13개'],월세  30~35,Y,N,공용,N
83,인천,인천 미추홀구 미추홀대로734번길 25-15,1호선 주안역,경도고시원,빈방없음,['11개'],월세  20~50,Y,N,공용,N
