,Unnamed: 0,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
0,0,서울 중구 명동,330, 30 개, 원30 개,00 대,3천 만원,220,20,합2억7천,-선택사항- ,-선택사항-     ,3000,27000,30,220,20,41,27000,240,100,2.7,3.2,4.3,12540,12540,12540,1168,1045,861,9936,8460,6252,828,705,521,36,31,23
1,1,서울 구로구 대림역,360, 40 개, 원26 개,1 대,4천 만원,380,30,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,380,30,36,17000,410,133,1.7,2.1,3.1,14688,14688,14688,1368,1224,1007,9900,8172,5568,825,681,464,58,48,32
2,2,서울 동작구 노량진동,430, 24 개, 큰24 개,1 대,7천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,7000,24000,24,280,30,38,24000,310,80,4.2,5.2,8.1,9300,9300,9300,866,775,638,5712,4620,2976,476,385,248,23,19,12
3,3,서울 광진구 구의동,420, 42 개, 42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60,39,32000,535,140,3,3.7,5.7,16704,16704,16704,1556,1392,1146,10572,8604,5652,881,717,471,33,26,17
4,4,서울 중랑구 상봉동,390, 30 개, 원30 개,1 대,5천 만원,370,10,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,370,10,32,27000,380,100,5.2,6.7,11.7,9792,9792,9792,912,816,672,5184,4032,2304,432,336,192,19,14,8
5,5,서울 강남구 도곡역,370, 40 개, 문의 개,1 대,6천 만원,330,0,합2억7천,-선택사항- ,-선택사항-     ,6000,27000,40,330,0,48,27000,330,133,1.7,1.9,2.6,19584,19584,19584,1824,1632,1344,16332,14028,10572,1361,1169,881,60,51,39
6,6,서울 마포구 00동,430, 39 개, 39 개,00 대,11000 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0,40,32000,540,130,3.3,4.1,6.3,15912,15912,15912,1482,1326,1092,9744,7872,5064,812,656,422,30,24,15
7,7,서울 동대문구 00동,. ,  개,  개,00 대, 만원, . ,0,2억8천,-선택사항- ,-선택사항-     ,0,28000,0,0,0,37,28000,0,100,2.4,2.8,3.4,11316,11316,11316,1054,943,777,11448,10116,8124,954,843,677,40,36,29
8,8,서울 서초구 00동,. , 50 개,  개,00 대, 만원, . ,0,2억2천,-선택사항- ,-선택사항-     ,0,22000,50,0,0,45,22000,0,166,0.9,1.1,1.3,22944,22944,22944,2137,1912,1575,23652,20952,16908,1971,1746,1409,107,95,76
9,9,서울 도봉구 00동,390, 40 개,  개,32 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,40,210,0,32,9000,210,133,0.9,1,1.4,13056,13056,13056,1216,1088,896,10476,8940,6636,873,745,553,116,99,73
