,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
0,서울 중구 명동,330 , 30 개, 원30 개,00 대,3천 만원, 220 , 20 ,합2억7천,-선택사항- ,-선택사항-     ,3000,27000,30,220,20
1,서울 구로구 대림역,360 , 40 개, 원26 개,1 대,4천 만원, 380 , 30 ,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,380,30
2,서울 동작구 노량진동,430 , 24 개, 큰24 개,1 대,7천 만원, 280 , 30 ,합2억4천,-선택사항- ,-선택사항-     ,7000,24000,24,280,30
3,서울 광진구 구의동,420 , 42 개, 42 개,1 대,4천 만원, 475 , 60 ,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60
4,서울 중랑구 상봉동,390 , 30 개, 원30 개,1 대,5천 만원, 370 , 10 ,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,370,10
5,서울 강남구 도곡역,370 , 40 개, 문의 개,1 대,6천 만원, 330 , 00 ,합2억7천,-선택사항- ,-선택사항-     ,6000,27000,40,330,0
6,서울 마포구 00동,430 , 39 개, 39 개,00 대,11000 만원, 540 , 00 ,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0
7,서울 동대문구 00동,. ,  개,  개,00 대, 만원, . , 00 ,2억8천,-선택사항- ,-선택사항-     ,0,28000,0,0,0
8,서울 서초구 00동,. , 50 개,  개,00 대, 만원, . , 00 ,2억2천,-선택사항- ,-선택사항-     ,0,22000,50,0,0
9,서울 도봉구 00동,390 , 40 개,  개,32 대,4000 만원, 210 , 00 ,9000,-선택사항- ,-선택사항-     ,4000,9000,40,210,0
10,서울 관악구 00동,00 , 37 개,  개,00 대,6000 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     ,6000,17000,37,340,0
11,서울 강남구 역삼동,303.14 , 37 개, 18 개,00 대,5000 만원, 638 , 00 ,23000,-선택사항- ,-선택사항-     ,5000,23000,37,638,0
12,서울 종로구 관철동,288.58 , 37 개, 37 개,00 대,11000 만원, 594 , 00 ,30000,-선택사항- ,-선택사항-     ,11000,30000,37,594,0
13,서울 서초구 00동,00 , 27 개,  개,00 대, 만원, 200 , 00 ,3000,-선택사항- ,-선택사항-     ,0,3000,27,200,0
14,서울 강남구 00동,303.14 , 35 개, 18 개,00 대,5000 만원, 638 , 포함 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,638,0
15,서울 송파구 잠실본동,468.99 , 40 개, 40 개,00 대,6천 만원, 735 , 무 ,4억,-선택사항- ,-선택사항-     ,6000,40000,40,735,0
16,서울 중구 청계천로,358.02 , 32 개, 32 개,00 대,5천 만원, 558 , 무 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,32,558,0
17,서울 종로구 00동,166.65 ,  개,  개,00 대,4천 만원, 250 , 사용량에따라 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,0,250,0
18,서울 영등포구 대방동,151.9 , 40 개, 25 개,2 대,2천5백 만원, 330 , 없음 ,1억9천5백,-선택사항- ,-선택사항-     ,2500,19500,40,330,0
19,서울 성북구 00동,193.2 , 35 개, 6 개,00 대,4천 만원, 230 , 없음 ,7천,-선택사항- ,-선택사항-     ,4000,7000,35,230,0
20,서울 강북구 00동,262.98 , 17 개, 17 개,2 대,3000 만원, 250 , 00 ,16000,-선택사항- ,-선택사항-     ,3000,16000,17,250,0
21,서울 성북구 길음동,297.09 , 36 개, 36 개,X 대,7천5백 만원, 490 , 포함 ,2억7천5백,-선택사항- ,-선택사항-     ,7500,27500,36,490,0
22,서울 서초구 서초동,203.7 , 40 개, 26 개,2 대,6천 만원, 575 , 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0
23,서울 강동구 00동,422.18 , 54 개, 17 개,4 대,8000 만원, 500 , 포함 ,2억,-선택사항- ,-선택사항-     ,8000,20000,54,500,0
24,서울 도봉구 00동,250 , 42 개,  개,00 대,4000 만원, 210 , 00 ,9000,-선택사항- ,-선택사항-     ,4000,9000,42,210,0
25,서울 서초구 00동,211.8 , 35 개, 16 개,없음 대,3천 만원, 433 , 없음 ,2억5천,-선택사항- ,-선택사항-     ,3000,25000,35,433,0
26,서울 마포구 00동,150평 ,  개,  개,00 대,9000 만원, 900 , 00 ,46000,-선택사항- ,-선택사항-     ,9000,46000,0,900,0
27,서울 강남구 00동,303.14 , 35 개,  개,00 대,5000 만원, 638 , 00 ,23000,-선택사항- ,-선택사항-     ,5000,23000,35,638,0
28,서울 영등포구 00동,246.04 , 43 개,  개,00 대,3500 만원, 260 , 00 ,1억,-선택사항- ,-선택사항-     ,3500,10000,43,260,0
29,서울 종로구 낙원동,593.92 , 77 개, 9 개,00 대,7000 만원, 620 , 00 ,19000,-선택사항- ,-선택사항-     ,7000,19000,77,620,0
30,서울 강남구 00동,523.8 , 64 개,  개,00 대,5000 만원, 750 , 00 ,29000,-선택사항- ,-선택사항-     ,5000,29000,64,750,0
31,서울 송파구 문정동,277.44 , 29 개, 16 개,00 대,3000 만원, 355 , 00 ,20000,-선택사항- ,-선택사항-     ,3000,20000,29,355,0
32,서울 중구 00동,495 , 50 개,  개,00 대,5000 만원, 500 , 00 ,3억7000,-선택사항- ,-선택사항-     ,5000,37000,50,500,0
33,서울 송파구 00동,300 , 30 개, 30 개,00 대,4천 만원, 390 , 60 ,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60
34,서울 동대문구 00동,330 , 30 개, 30 개,00 대,5000 만원, 340 , 00 ,2억6000,-선택사항- ,-선택사항-     ,5000,26000,30,340,0
35,서울 성북구 00동,520 , 47 개, 47 개,00 대,5천 만원, 680 , 50 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50
36,서울 노원구 00동,500 , 55 개,  개,00 대,6000 만원, 680 , 00 ,30000,-선택사항- ,-선택사항-     ,6000,30000,55,680,0
37,서울 중구 00동,380 , 42 개, 42 개,00 대,6천 만원, 580 , 50 ,3억6천,-선택사항- ,-선택사항-     ,6000,36000,42,580,50
38,서울 서대문구 00동,360 , 27 개,  개,00 대,2억 만원, 550 , 00 ,3억4000,-선택사항- ,-선택사항-     ,20000,34000,27,550,0
39,서울 동작구 00동,420 , 55 개,  개,00 대,4000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     ,4000,21000,55,500,0
40,서울 동작구 00동,217 ,  개,  개,00 대,3000 만원, 200 , 없음 ,7000,-선택사항- ,-선택사항-     ,3000,7000,0,200,0
41,서울 마포구 00동,150평 ,  개,  개,00 대,7000 만원, 480 , 00 ,45000,-선택사항- ,-선택사항-     ,7000,45000,0,480,0
42,서울 관악구 00동,180 , 30 개,  개,00 대,4000 만원, 240 , 00 ,9000,-선택사항- ,-선택사항-     ,4000,9000,30,240,0
43,서울 양천구 00동,294 , 30 개, 30 개,00 대,4천 만원, 290 , 30 ,1억5천,-선택사항- ,-선택사항-     ,4000,15000,30,290,30
44,서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원, 500 , 00 ,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0
45,서울 강동구 성내동,422.18 , 54 개, 15 개,00 대,8000 만원, 500 , 00 ,19000,-선택사항- ,-선택사항-     ,8000,19000,54,500,0
46,서울 마포구 00동,410 , 39 개, 39 개,00 대,1억1천 만원, 540 , 00 ,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0
47,서울 동대문구 00동,90평 ,  개,  개,00 대,5000 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     ,5000,17000,0,340,0
48,서울 동대문구 00동,244 ,  개,  개,00 대,300 만원, 3000 , 2~3층/3층 ,11000,-선택사항- ,-선택사항-     ,300,11000,0,3000,0
49,서울 동대문구 00동,110 ,  개,  개,00 대,6500 만원, 505 , 00 ,7000,-선택사항- ,-선택사항-     ,6500,7000,0,505,0
