,지역,평균월세(원)
0,강남구,48.310001373291016
1,강동구,37.7400016784668
2,강북구,34.619998931884766
3,강서구,34.16999816894531
4,관악구,33.45000076293945
5,광진구,39.040000915527344
6,구로구,35.75
7,금천구,37.68000030517578
8,노원구,35.790000915527344
9,도봉구,31.90999984741211
10,동대문구,36.68000030517578
11,동작구,38.27999877929688
12,마포구,40.22999954223633
13,서대문구,39.4900016784668
14,서초구,44.63999938964844
15,성동구,38.31999969482422
16,성북구,37.11000061035156
17,송파구,41.880001068115234
18,양천구,35.20000076293945
19,영등포구,37.59000015258789
20,용산구,36.95000076293945
21,은평구,40.11000061035156
22,종로구,42.119998931884766
23,중구,41.18000030517578
24,중랑구,32.22999954223633
