연번,상호,업종,법정동 주소
1,운현고시원,고시원업,서울특별시 종로구 경운동 1-9
2,주식회사 에스에스디에이,고시원업,서울특별시 종로구 명륜3가 61-8
3,원룸텔경복궁굿스테이,고시원업,서울특별시 종로구 필운동 278-5
4,영하호,고시원업,서울특별시 종로구 창신동 283
5,대보빌딩(코쿤하우스),고시원업,서울특별시 종로구 이화동 36-2
6,비엔하우스,고시원업,서울특별시 종로구 이화동 125
7,동대문고시원,고시원업,서울특별시 종로구 창신동 651-16
8,21세기고시원,고시원업,서울특별시 종로구 창신동 330-2
9,밀레니엄 고시원,고시원업,서울특별시 종로구 창신동 463-1
10,굿스테이원룸텔,고시원업,서울특별시 종로구 명륜1가 16-21
11,보은하우스,고시원업,서울특별시 종로구 익선동 33-23
12,서울고시원 신설동역점,고시원업,서울특별시 종로구 숭인동 1400
13,준레지던스,고시원업,서울특별시 종로구 효제동 248-1
14,긍정의 집,고시원업,서울특별시 종로구 낙원동 13
15,UD원룸텔,고시원업,서울특별시 종로구 관수동 21-2
16,성대으뜸고시원,고시원업,서울특별시 종로구 명륜3가 1-204
17,리빙파크원룸텔(완공시 상호변경),고시원업,서울특별시 종로구 숭인동 200-25
18,로얄팰리스,고시원업,서울특별시 종로구 숭인동 181-25
19,행복한집,고시원업,서울특별시 종로구 익선동 2-1
20,종각레지던스,고시원업,서울특별시 종로구 견지동 110-43
21,엘린하우스,고시원업,서울특별시 종로구 명륜2가 209-1
22,파고다 원룸텔,고시원업,서울특별시 종로구 관수동 3-3
23,종각레지던스,고시원업,서울특별시 종로구 견지동 110-43
24,모던하우스,고시원업,서울특별시 종로구 명륜3가 127
25,종로웰빙텔,고시원업,서울특별시 종로구 관철동 19-7
26,노블레스종로,고시원업,서울특별시 종로구 관철동 13-12
27,한성독서실,고시원업,서울특별시 종로구 관훈동 197-28
28,마루레지던스(종로점),고시원업,서울특별시 종로구 장사동 182-9
29,미솜하우스,고시원업,서울특별시 종로구 관철동 43-13
30,수레지던스,고시원업,서울특별시 종로구 관철동 19-16
31,예그린 하우스,고시원업,서울특별시 종로구 관철동 27-5
32,파인레지던스,고시원업,서울특별시 종로구 관철동 12-6
33,에이원 레지던스,고시원업,서울특별시 종로구 관철동 43-6
34,성문고시원,고시원업,서울특별시 종로구 숭인동 183-9
35,원 고시원,고시원업,서울특별시 종로구 창신동 687-25
36,화인 레지던스,고시원업,서울특별시 종로구 관수동 3-5
37,레지던스Q,고시원업,서울특별시 종로구 관철동 18-3
38,프린스고시원,고시원업,서울특별시 종로구 숭인동 1419-2
39,패스빌고시원,고시원업,서울특별시 종로구 숭인동 72-12
40,쏘울레지던스,고시원업,서울특별시 종로구 관수동 154-1
41,수원룸텔,고시원업,서울특별시 종로구 관철동 25
42,꿈을향한고시원,고시원업,서울특별시 종로구 명륜2가 21-17
43,푸른고시텔,고시원업,서울특별시 종로구 인의동 12
44,아름,고시원업,서울특별시 종로구 익선동 33-25
45,심플하우스,고시원업,서울특별시 종로구 인의동 48-15
46,한울레지던스 종각점,고시원업,서울특별시 종로구 관철동 44-5
47,혜화고시원,고시원업,서울특별시 종로구 혜화동 37-1
48,씨엘하우스,고시원업,서울특별시 종로구 명륜4가 198-3
49,아름하우스,고시원업,서울특별시 종로구 견지동 21
50,게스트원룸텔,고시원업,서울특별시 종로구 숭인동 313-8
51,베스트원룸텔,고시원업,서울특별시 종로구 관수동 154-2
52,아일랜드 레지던스,고시원업,서울특별시 종로구 숭인동 1395
53,성균고시원,고시원업,서울특별시 종로구 명륜1가 10-16
54,해피하우스,고시원업,서울특별시 종로구 종로3가 132-1
55,오케이파크,고시원업,서울특별시 종로구 익선동 33-22
56,황토방원룸텔,고시원업,서울특별시 종로구 숭인동 189
57,코지고시원,고시원업,서울특별시 종로구 숭인동 317-39
58,큐비 레지던스,고시원업,서울특별시 종로구 창신동 384-1
59,스타원룸텔,고시원업,서울특별시 종로구 명륜3가 154-3
60,바울빌,고시원업,서울특별시 종로구 명륜3가 31
61,혜화고시텔,고시원업,서울특별시 종로구 혜화동 37-1
62,종로 레지던스,고시원업,서울특별시 종로구 인사동 75-1
63,예그린하우스,고시원업,서울특별시 종로구 동숭동 1-145
64,베스트하우스,고시원업,서울특별시 종로구 명륜4가 111-2
65,다온레지던스,고시원업,서울특별시 종로구 관수동 144
66,길버트 게스트하우스,고시원업,서울특별시 종로구 동숭동 1-58
67,더인사게스트하우스(고우원),고시원업,서울특별시 종로구 인사동 119-2
68,노블레지던스 대학로,고시원업,서울특별시 종로구 동숭동 1-91
69,비바하우스,고시원업,서울특별시 종로구 명륜2가 96
70,굿모닝렉스텔(구.굿모닝고시원),고시원업,서울특별시 종로구 관수동 130-1
71,파인하우스,고시원업,서울특별시 종로구 명륜2가 21-18
72,허브하우스,고시원업,서울특별시 종로구 명륜2가 13
73,게스트고시텔,고시원업,서울특별시 종로구 종로5가 231-9
