"행정구역별",2021.2/2,2022.1/2
"행정구역별",거주지외 타지역 통근 취업자 (천명),거주지외 타지역 통근 취업자 (천명)
"서울 종로구",45.5,44.1
"서울 중구",33.1,34.1
"서울 용산구",75.1,80.0
"서울 성동구",103.3,106.1
"서울 광진구",125.7,130.9
"서울 동대문구",108.8,105.9
"서울 중랑구",131.7,135.1
"서울 성북구",142.0,148.5
"서울 강북구",95.4,94.4
"서울 도봉구",107.6,104.9
"서울 노원구",167.5,168.2
"서울 은평구",162.5,158.6
"서울 서대문구",103.7,100.7
"서울 마포구",122.4,125.8
"서울 양천구",152.8,152.8
"서울 강서구",183.2,185.1
"서울 구로구",149.0,148.6
"서울 금천구",71.3,74.5
"서울 영등포구",137.9,134.6
"서울 동작구",155.2,157.4
"서울 관악구",188.1,192.7
"서울 서초구",124.6,125.3
"서울 강남구",140.8,134.7
"서울 송파구",203.6,195.4
"서울 강동구",149.3,149.0
